"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","4","10","3","1","0"
"","","Story Name: To check Item price getting increase on increasing quantity","0","1","1","0","0"
"","","Story Name: To check user is able to see Add item into Cart than see Added to Cart text","0","1","2","0","0"
"","","Story Name: To get all the Countries Name of footer","0","0","1","0","0"
"","","Story Name: To check Item price is same after adding to cart","0","1","1","0","0"
"","","Story Name: To check user is able to see Add to Cart, Buy Now and Add to Wish List","0","0","1","0","0"
"","","Story Name: To check user not able to SignIn with invalid credentials","1","0","0","0","0"
"","","Story Name: To check Search text box showing suggested item list on entering data","0","0","2","0","0"
"","","Story Name: To check user is able to search item using Shop by Department option","0","0","2","0","0"
"","","Story Name: To check user able to SignIn","0","0","1","0","0"
"","","Story Name: To check user is able to hover on Pay on Delivery, 10 days returnable, Amazon Delivered and 1 Year Warranty","0","0","1","0","0"
"","","Story Name: To check user able to SignOut","0","0","1","0","0"
"","","Story Name: To Upload a file","0","0","1","0","0"
"","","Story Name: To check user is able check the checkbox","0","0","2","0","0"
"","","Story Name: To check user is able to see Cart count 1 or more than 1","0","1","1","0","0"
"","","Story Name: To check user is able to see remove the item from Cart","0","0","2","0","0"
"","","Story Name: To check user is able to search item and see the result","0","0","2","0","0"
"","","Story Name: To check user able to login","0","0","1","0","0"
"","","Story Name: To check SearchBox button visible on Home Page","0","0","3","0","0"
"","","Story Name: To check user is able navigate to social media link","0","0","1","0","0"
"","","Story Name: To check user is able to select value from Quantity drop down","0","0","1","0","0"
"","","Story Name: To know the text of footer","0","0","1","0","0"
